usuario,artista,url_imagen
Elias,Bad Bunny,assets/artistas/badbunny.jpg
Elias,Eladio Carrion,assets/artistas/eladio.jpg
Elias,Luis Miguel,assets/artistas/luismiguel.jpg
Elias,Mora,assets/artistas/mora.jpg
Elias,The Weeknd,assets/artistas/theweeknd.jpg
Elias,RÜFÜS DU SOL,assets/artistas/rufus.jpg
Elias,Myke Towers,assets/artistas/myketowers.jpg
Elias,Lewis Capaldi,assets/artistas/lewiscapaldi.jpg
Elias,Adriatique,assets/artistas/adriatique.jpg
Elias,Drake,assets/artistas/drake.jpg
elie,Bad Bunny,assets/artistas/badbunny.jpg
elie,Billie Eilish,assets/artistas/billie.jpg
elie,Drake,assets/artistas/drake.jpg
elie,The Weeknd,assets/artistas/theweeknd.jpg
elie,Ludovico Einaudi,assets/artistas/ludovicoeinaudi.jpg
elie,Jesse & Joy,assets/artistas/jessejoy.jpg
elie,Hans Zimmer,assets/artistas/hanszimmer.jpg
elie,Frank Ocean,assets/artistas/frankocean.jpg
elie,Adele,assets/artistas/adele.jpg
elie,Fairuz,assets/artistas/fairuz.jpg
